차량ID,연비,연료타입,차급,외형,엔진,가격,이미지,출력,URL
 2025 KGM 무쏘 스포츠(Q261),10.4km/ℓ,디젤,대형,픽업트럭,FR,3689,http://file.carisyou.com/upload/2025/01/20/FILE_202501200422473040.png,202마력,https://www.carisyou.com/car/7532/Spec
 2025 기아 EV3,5.1 ~ 5.4km/kwh,전기,소형,SUV,2WD,4895,http://file.carisyou.com/upload/2024/06/04/FILE_202406041058132380.png,204마력,https://www.carisyou.com/car/7531/Spec
 2025 혼다 오딧세이(5세대),9.0km/ℓ,가솔린,대형,RV,FF,6290,http://file.carisyou.com/upload/2025/02/27/FILE_202502270204194410.png,284마력,https://www.carisyou.com/car/7530/Spec
 2025 아우디 RS6(8세대),7.1km/ℓ,가솔린,중형,왜건,4WD,18002,http://file.carisyou.com/upload/2023/12/29/FILE_202312290935204760.png,630마력,https://www.carisyou.com/car/7529/Spec
 2025 아우디 RSQ8,6.5km/ℓ,가솔린,대형,SUV,4WD,19202,http://file.carisyou.com/upload/2025/02/27/FILE_202502270202346640.png,640마력,https://www.carisyou.com/car/7528/Spec
 2025 벤츠 SL(7세대),8.8km/ℓ,가솔린,중형,컨버터블,FR,1,http://file.carisyou.com/upload/2023/03/20/FILE_202303200122191330.png,421마력,https://www.carisyou.com/car/7527/Spec
 2025 현대 뉴 마이티,"-
									
									
								
								
							
							
						",디젤,준대형,트럭,FR,7900,http://file.carisyou.com/upload/2021/03/18/FILE_202103180931098530.png,170마력,https://www.carisyou.com/car/7526/Spec
 2025 KGM 무쏘 EV(O100),4.2km/kwh,전기,중형,픽업트럭,2WD,5300,http://file.carisyou.com/upload/2025/02/14/FILE_202502140259224690.png,207마력,https://www.carisyou.com/car/7525/Spec
 2025 기아 타스만,7.7 ~ 8.6km/ℓ,가솔린,대형,픽업트럭,FR,5240,http://file.carisyou.com/upload/2025/03/05/FILE_202503051042490580.png,281마력,https://www.carisyou.com/car/7524/Spec
 2025 렉서스 LX(4세대),8.0km/ℓ,가솔린/하이브리드,대형,SUV,4WD,1,http://file.carisyou.com/upload/2025/02/17/FILE_202502170952381770.png,415마력,https://www.carisyou.com/car/7523/Spec
 2025 포드 레인저(2세대),9.0 ~ 10.1km/ℓ,디젤,대형,픽업트럭,4WD,7990,http://file.carisyou.com/upload/2023/01/16/FILE_202301160202008150.png,205마력,https://www.carisyou.com/car/7522/Spec
 2025 현대 아이오닉 9,4.1 ~ 4.3km/kwh,전기,대형,SUV,2WD,8311,http://file.carisyou.com/upload/2025/02/03/FILE_202502030350356610.png,218마력,https://www.carisyou.com/car/7521/Spec
 2026 렉서스 ES(7세대),17.2km/ℓ,가솔린/하이브리드,중형,세단,FF,7188,http://file.carisyou.com/upload/2024/01/18/FILE_202401180100060120.png,178마력,https://www.carisyou.com/car/7520/Spec
 2025 렉서스 LS(5세대),7.9 ~ 9.6km/ℓ,"가솔린,가솔린/하이브리드",대형,세단,4WD,1,http://file.carisyou.com/upload/2022/11/17/FILE_202211171011302310.png,422마력,https://www.carisyou.com/car/7519/Spec
 2025 아우디 A3(4세대),11.3 ~ 12.4km/ℓ,가솔린,준중형,세단,FF,5130,http://file.carisyou.com/upload/2025/01/22/FILE_202501220523253440.png,204마력,https://www.carisyou.com/car/7518/Spec
 2025 현대 파비스,"-
									
									
								
								
							
							
						",디젤,준대형,트럭,FR,8259,http://file.carisyou.com/upload/2021/05/20/FILE_202105201105343060.png,280마력,https://www.carisyou.com/car/7517/Spec
 2025 로터스 에미라,7.7 ~ 9.5km/ℓ,가솔린,준중형,쿠페,MR,1,http://file.carisyou.com/upload/2021/11/01/FILE_202111010256102580.png,364마력,https://www.carisyou.com/car/7516/Spec
 2025 KGM 뉴 렉스턴 스포츠,10.4km/ℓ,디젤,대형,픽업트럭,FR,3689,http://file.carisyou.com/upload/2025/01/20/FILE_202501200422473040.png,202마력,https://www.carisyou.com/car/7515/Spec
 2025 KGM 뉴 렉스턴 스포츠 칸,10.2 ~ 10.3km/ℓ,디젤,대형,픽업트럭,FR,3909,http://file.carisyou.com/upload/2025/01/20/FILE_202501200426517090.png,202마력,https://www.carisyou.com/car/7514/Spec
 2025 KGM 뉴 렉스턴(Y461),10.2 ~ 11.6km/ℓ,디젤,중형,SUV,FR,5967,http://file.carisyou.com/upload/2022/03/10/FILE_202203100117042950.png,202마력,https://www.carisyou.com/car/7513/Spec
 2025 비야디 아토 3,4.7km/kwh,전기,소형,SUV,2WD,3330,http://file.carisyou.com/upload/2025/01/16/FILE_202501160330016950.png,204마력,https://www.carisyou.com/car/7512/Spec
 2025 제네시스 뉴 일렉트리파이드 GV70,4.5km/kwh,전기,중형,SUV,4WD,7530,http://file.carisyou.com/upload/2025/01/16/FILE_202501160957313300.png,-마력,https://www.carisyou.com/car/7511/Spec
 2025 미니 미니 에이스맨,5.4km/kwh,전기,소형,SUV,2WD,6000,http://file.carisyou.com/upload/2025/01/15/FILE_202501150346435350.png,184마력,https://www.carisyou.com/car/7508/Spec
 2025 아우디 Q3(2세대),9.9 ~ 14.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,5826,http://file.carisyou.com/upload/2022/06/02/FILE_202206021106043010.png,150마력,https://www.carisyou.com/car/7507/Spec
 2025 아우디 RS7(2세대),7.3km/ℓ,가솔린,준대형,해치백,4WD,18790,http://file.carisyou.com/upload/2023/12/21/FILE_202312211026362540.png,630마력,https://www.carisyou.com/car/7506/Spec
 2025 아우디 A7(2세대),9.5 ~ 15.7km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,해치백,4WD,1,http://file.carisyou.com/upload/2025/01/13/FILE_202501131125294360.png,252마력,https://www.carisyou.com/car/7504/Spec
 2025 벤츠 C클래스(5세대),12.0km/ℓ,가솔린,준중형,세단,FR,6590,http://file.carisyou.com/upload/2022/11/21/FILE_202211210924075450.png,204마력,https://www.carisyou.com/car/7503/Spec
 2025 제네시스 뉴 G80(RG3),8.2 ~ 10.5km/ℓ,가솔린,준대형,세단,FR,8573,http://file.carisyou.com/upload/2023/12/27/FILE_202312270112559470.png,304마력,https://www.carisyou.com/car/7502/Spec
 2025 폭스바겐 ID.5,5.0km/kwh,전기,준중형,SUV,2WD,6099,http://file.carisyou.com/upload/2025/01/07/FILE_202501070128246050.png,286마력,https://www.carisyou.com/car/7499/Spec
 2025 지프 랭글러(4세대),7.5 ~ 8.2km/ℓ,가솔린,"준중형,중형",SUV,4WD,8590,http://file.carisyou.com/upload/2024/09/12/FILE_202409121114396850.png,272마력,https://www.carisyou.com/car/7498/Spec
 2025 랜드로버 디스커버리,7.5 ~ 10.1km/ℓ,"가솔린,디젤",중형,SUV,4WD,9520,http://file.carisyou.com/upload/2021/06/23/FILE_202106231025152620.png,300마력,https://www.carisyou.com/car/7497/Spec
 2025 폭스바겐 ID.4,4.9km/kwh,전기,준중형,SUV,2WD,5999,http://file.carisyou.com/upload/2022/09/15/FILE_202209150246519830.png,286마력,https://www.carisyou.com/car/7496/Spec
 2025 아우디 Q4 e-트론,4.7km/kwh,전기,준중형,SUV,2WD,7380,http://file.carisyou.com/upload/2022/09/07/FILE_202209071127449620.png,286마력,https://www.carisyou.com/car/7495/Spec
 2024 아우디 A4(5세대),10.6 ~ 16.9km/ℓ,"가솔린,디젤",준중형,세단,FF,6722,http://file.carisyou.com/upload/2020/06/03/FILE_202006030108442820.png,204마력,https://www.carisyou.com/car/7494/Spec
 2025 BMW 2시리즈(2세대),9.6km/ℓ,가솔린,준중형,쿠페,4WD,7310,http://file.carisyou.com/upload/2019/11/04/FILE_201911040330378920.png,387마력,https://www.carisyou.com/car/7493/Spec
 2025 BMW X6 M(3세대),7.0km/ℓ,가솔린,중형,SUV,4WD,19580,http://file.carisyou.com/upload/2023/07/05/FILE_202307050422307370.png,625마력,https://www.carisyou.com/car/7492/Spec
 2025 벤츠 GLE(4세대),7.8 ~ 11.6km/ℓ,"가솔린,디젤",중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/08/28/FILE_202308280216070440.png,269마력,https://www.carisyou.com/car/7491/Spec
 2025 벤츠 CLE,9.1 ~ 11.7km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,7420,http://file.carisyou.com/upload/2024/02/16/FILE_202402160955503020.png,204마력,https://www.carisyou.com/car/7490/Spec
 2025 현대 팰리세이드 하이브리드(LX3),11.4 ~ 14.1km/ℓ,가솔린/하이브리드,대형,SUV,FF,6566,http://file.carisyou.com/upload/2024/12/20/FILE_202412200435289480.png,262마력,https://www.carisyou.com/car/7488/Spec
 2025 현대 팰리세이드(LX3),8.2 ~ 9.7km/ℓ,가솔린,대형,SUV,FF,5946,http://file.carisyou.com/upload/2024/12/20/FILE_202412200947075910.png,281마력,https://www.carisyou.com/car/7487/Spec
 2025 아우디 SQ7,6.7km/ℓ,가솔린,대형,SUV,4WD,14002,http://file.carisyou.com/upload/2024/12/20/FILE_202412200308355580.png,507마력,https://www.carisyou.com/car/7486/Spec
 2025 아우디 Q7(2세대),8.1 ~ 10.5km/ℓ,"가솔린,디젤",대형,SUV,4WD,1,http://file.carisyou.com/upload/2024/12/20/FILE_202412200331551060.png,286마력,https://www.carisyou.com/car/7485/Spec
 2025 BMW X4 M,7.8km/ℓ,가솔린,준중형,SUV,4WD,13020,http://file.carisyou.com/upload/2021/11/18/FILE_202111180308063450.png,510마력,https://www.carisyou.com/car/7484/Spec
 2025 BMW X6(3세대),7.8 ~ 11.9km/ℓ,"가솔린,디젤",중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/07/05/FILE_202307050349434080.png,298마력,https://www.carisyou.com/car/7483/Spec
 2025 BMW X2(2세대),10.1 ~ 10.8km/ℓ,가솔린,준중형,SUV,4WD,7550,http://file.carisyou.com/upload/2024/04/03/FILE_202404030249153580.png,204마력,https://www.carisyou.com/car/7482/Spec
 2025 BMW iX,3.4 ~ 3.7km/kwh,전기,중형,SUV,4WD,1,http://file.carisyou.com/upload/2021/11/23/FILE_202111230454480600.png,523마력,https://www.carisyou.com/car/7481/Spec
 2025 아우디 Q8,8.1 ~ 10.1km/ℓ,"가솔린,디젤",대형,SUV,4WD,1,http://file.carisyou.com/upload/2024/12/19/FILE_202412191121110780.png,286마력,https://www.carisyou.com/car/7480/Spec
 2025 미니 미니 컨트리맨(3세대),10.3 ~ 10.8km/ℓ,가솔린,소형,SUV,4WD,6620,http://file.carisyou.com/upload/2024/06/07/FILE_202406070138060760.png,204마력,https://www.carisyou.com/car/7479/Spec
 2025 아우디 A6(8세대),10.7 ~ 15.0km/ℓ,"가솔린,디젤",중형,세단,FF,8324,http://file.carisyou.com/upload/2021/12/14/FILE_202112140537413290.png,204마력,https://www.carisyou.com/car/7476/Spec
 2025 렉서스 RX(5세대),10.0 ~ 14.7km/ℓ,가솔린/하이브리드,중형,SUV,4WD,8675,http://file.carisyou.com/upload/2023/06/02/FILE_202306020518039390.png,187마력,https://www.carisyou.com/car/7475/Spec
 2025 볼보 S90,10.4 ~ 13.0km/ℓ,"가솔린,가솔린/하이브리드",준대형,세단,FF,8790,http://file.carisyou.com/upload/2024/12/09/FILE_202412090949207550.png,250마력,https://www.carisyou.com/car/7474/Spec
 2025 볼보 XC90(2세대),9.5 ~ 11.0km/ℓ,"가솔린,가솔린/하이브리드",준대형,SUV,4WD,8720,http://file.carisyou.com/upload/2019/09/26/FILE_201909261013329930.png,300마력,https://www.carisyou.com/car/7473/Spec
 2025 BMW M5(7세대),12.0km/ℓ,가솔린/하이브리드,중형,세단,4WD,1,http://file.carisyou.com/upload/2024/12/06/FILE_202412061027130670.png,585마력,https://www.carisyou.com/car/7472/Spec
 2025 BMW i5,3.8 ~ 4.6km/kwh,전기,중형,세단,2WD,9280,http://file.carisyou.com/upload/2023/09/06/FILE_202309060405066500.png,340마력,https://www.carisyou.com/car/7471/Spec
 2025 BMW X5 M(3세대),6.9km/ℓ,가솔린,중형,SUV,4WD,19170,http://file.carisyou.com/upload/2023/08/03/FILE_202308031042157290.png,625마력,https://www.carisyou.com/car/7470/Spec
 2025 BMW M2(2세대),8.5km/ℓ,가솔린,준중형,쿠페,FR,9590,http://file.carisyou.com/upload/2024/12/02/FILE_202412021032252700.png,480마력,https://www.carisyou.com/car/7469/Spec
 2025 랜드로버 레인지로버(5세대),7.8 ~ 10.5km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,SUV,4WD,2,http://file.carisyou.com/upload/2021/11/29/FILE_202111290547572310.png,350마력,https://www.carisyou.com/car/7465/Spec
 2025 현대 뉴 투싼 하이브리드(NX4),14.3 ~ 16.2km/ℓ,가솔린/하이브리드,준중형,SUV,FF,4142,http://file.carisyou.com/upload/2023/12/06/FILE_202312060230172670.png,180마력,https://www.carisyou.com/car/7464/Spec
 2025 현대 뉴 투싼(NX4),11.2 ~ 14.3km/ℓ,"가솔린,디젤",준중형,SUV,FF,3925,http://file.carisyou.com/upload/2023/12/06/FILE_202312060215369920.png,180마력,https://www.carisyou.com/car/7463/Spec
 2025 BMW M8(2세대),7.3 ~ 7.6km/ℓ,가솔린,준대형,"세단,쿠페외형전체>",4WD,2,http://file.carisyou.com/upload/2019/10/02/FILE_201910020354195000.png,625마력,https://www.carisyou.com/car/7462/Spec
 2025 BMW X7,6.9 ~ 10.0km/ℓ,"가솔린,디젤",대형,SUV,4WD,1,http://file.carisyou.com/upload/2024/11/18/FILE_202411180405553880.png,381마력,https://www.carisyou.com/car/7461/Spec
 2025 BMW X5(4세대),7.5 ~ 11.6km/ℓ,"가솔린,가솔린/하이브리드,디젤",중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/07/05/FILE_202307050208496140.png,286마력,https://www.carisyou.com/car/7460/Spec
 2025 BMW X4(2세대),8.5 ~ 12.5km/ℓ,"가솔린,디젤",준중형,SUV,4WD,7330,http://file.carisyou.com/upload/2021/12/02/FILE_202112020116175890.png,184마력,https://www.carisyou.com/car/7459/Spec
 2025 BMW X1(3세대),10.2 ~ 14.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,7220,http://file.carisyou.com/upload/2023/03/06/FILE_202303060536277170.png,150마력,https://www.carisyou.com/car/7458/Spec
 2025 BMW iX1,4.2km/kwh,전기,준중형,SUV,4WD,7020,http://file.carisyou.com/upload/2023/01/26/FILE_202301261100344100.png,313마력,https://www.carisyou.com/car/7457/Spec
 2025 아우디 SQ6 e-트론,3.8km/kwh,전기,중형,SUV,4WD,11590,http://file.carisyou.com/upload/2025/03/19/FILE_202503190237504790.png,489마력,https://www.carisyou.com/car/7456/Spec
 2025 아우디 Q6 e-트론,3.8 ~ 4.3km/kwh,전기,중형,SUV,2WD,8290,http://file.carisyou.com/upload/2025/03/19/FILE_202503190240143170.png,305마력,https://www.carisyou.com/car/7455/Spec
 2024 아우디 SQ5(2세대),8.6 ~ 8.9km/ℓ,가솔린,중형,SUV,4WD,9990,http://file.carisyou.com/upload/2021/07/21/FILE_202107210246134410.png,354마력,https://www.carisyou.com/car/7454/Spec
 2024 아우디 Q4 e-트론,4.7 ~ 4.8km/kwh,전기,준중형,SUV,2WD,7540,http://file.carisyou.com/upload/2022/09/07/FILE_202209071127449620.png,204마력,https://www.carisyou.com/car/7453/Spec
 2025 포드 익스플로러(6세대),8.7km/ℓ,가솔린,대형,SUV,4WD,6800,http://file.carisyou.com/upload/2024/11/08/FILE_202411080451194960.png,304마력,https://www.carisyou.com/car/7452/Spec
 2025 BMW 8시리즈(2세대),7.6 ~ 7.7km/ℓ,가솔린,준대형,"세단,쿠페외형전체>",4WD,1,http://file.carisyou.com/upload/2024/11/08/FILE_202411080347539220.png,530마력,https://www.carisyou.com/car/7451/Spec
 2025 BMW 5시리즈(8세대),11.1 ~ 15.9km/ℓ,"가솔린,가솔린/하이브리드,디젤",중형,세단,FR,6870,http://file.carisyou.com/upload/2023/09/06/FILE_202309061102221390.png,190마력,https://www.carisyou.com/car/7450/Spec
 2025 기아 뉴 스포티지 하이브리드(NQ5),14.3 ~ 16.3km/ℓ,가솔린/하이브리드,준중형,SUV,FF,4168,http://file.carisyou.com/upload/2024/11/08/FILE_202411081136590820.png,180마력,https://www.carisyou.com/car/7449/Spec
 2025 기아 뉴 스포티지(NQ5),8.6 ~ 12.3km/ℓ,"가솔린,엘피지",준중형,SUV,FF,3694,http://file.carisyou.com/upload/2024/11/08/FILE_202411081136590820.png,180마력,https://www.carisyou.com/car/7448/Spec
 2025 BMW M3(6세대),7.9 ~ 8.2km/ℓ,가솔린,준중형,"세단,왜건외형전체>",4WD,1,http://file.carisyou.com/upload/2024/11/07/FILE_202411071111282460.png,530마력,https://www.carisyou.com/car/7447/Spec
 2025 BMW 3시리즈(7세대),10.8 ~ 15.2km/ℓ,"가솔린,디젤",준중형,"세단,왜건외형전체>",FR,9750,http://file.carisyou.com/upload/2024/11/07/FILE_202411071109277780.png,190마력,https://www.carisyou.com/car/7446/Spec
 2025 토요타 하이랜더(4세대),13.8km/ℓ,가솔린/하이브리드,준대형,SUV,4WD,7403,http://file.carisyou.com/upload/2023/07/05/FILE_202307050526388340.png,188마력,https://www.carisyou.com/car/7445/Spec
 2025 기아 뉴 K5 하이브리드(DL3),18.8 ~ 19.8km/ℓ,가솔린/하이브리드,중형,세단,FF,3868,http://file.carisyou.com/upload/2024/01/16/FILE_202401160246451980.png,152마력,https://www.carisyou.com/car/7444/Spec
 2025 기아 뉴 K5(DL3),9.5 ~ 13.7km/ℓ,"가솔린,엘피지",중형,세단,FF,3546,http://file.carisyou.com/upload/2024/01/16/FILE_202401160245434840.png,160마력,https://www.carisyou.com/car/7443/Spec
 2025 토요타 캠리(9세대),17.1km/ℓ,가솔린/하이브리드,중형,세단,FF,5327,http://file.carisyou.com/upload/2024/11/07/FILE_202411070532096740.png,186마력,https://www.carisyou.com/car/7442/Spec
 2025 벤츠 마이바흐 GLS(3세대),6.2km/ℓ,가솔린,대형,SUV,4WD,28760,http://file.carisyou.com/upload/2024/01/31/FILE_202401310146182370.png,557마력,https://www.carisyou.com/car/7441/Spec
 2025 벤츠 GLS(3세대),6.5 ~ 7.9km/ℓ,가솔린,대형,SUV,4WD,15710,http://file.carisyou.com/upload/2023/11/16/FILE_202311160452428280.png,381마력,https://www.carisyou.com/car/7440/Spec
 2025 벤틀리 컨티넨탈(4세대),"-
									
									
								
								
							
							
						",가솔린/하이브리드,대형,"컨버터블,쿠페외형전체>",4WD,3,http://file.carisyou.com/upload/2024/10/30/FILE_202410300117562710.png,600마력,https://www.carisyou.com/car/7439/Spec
 2025 로터스 에메야,"-
									
									
								
								
							
							
						",전기,대형,세단,4WD,1,http://file.carisyou.com/upload/2024/10/30/FILE_202410301126021910.png,612마력,https://www.carisyou.com/car/7438/Spec
 2025 현대 뉴 쏘나타 하이브리드(DN8),17.1 ~ 19.4km/ℓ,가솔린/하이브리드,중형,세단,FF,3912,http://file.carisyou.com/upload/2023/04/24/FILE_202304241052430090.png,152마력,https://www.carisyou.com/car/7437/Spec
 2025 현대 뉴 쏘나타(DN8),9.4 ~ 13.5km/ℓ,"가솔린,엘피지",중형,세단,FF,3869,http://file.carisyou.com/upload/2023/04/24/FILE_202304241050166250.png,160마력,https://www.carisyou.com/car/7436/Spec
 2025 포르쉐 911(8세대),"-
									
									
								
								
							
							
						",가솔린,준중형,"컨버터블,쿠페외형전체>",RR,2,http://file.carisyou.com/upload/2024/10/25/FILE_202410250950404080.png,485마력,https://www.carisyou.com/car/7435/Spec
 2025 포르쉐 카이엔(3세대),6.5 ~ 8.4km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/08/17/FILE_202308171119591940.png,360마력,https://www.carisyou.com/car/7434/Spec
 2025 볼보 V90 크로스 컨트리,11.0km/ℓ,가솔린,중형,왜건,4WD,7820,http://file.carisyou.com/upload/2020/10/22/FILE_202010220952255650.png,250마력,https://www.carisyou.com/car/7433/Spec
 2025 랜드로버 디펜더,6.9 ~ 10.4km/ℓ,"가솔린,디젤","대형,준중형",SUV,4WD,1,http://file.carisyou.com/upload/2024/01/19/FILE_202401190118577460.png,249마력,https://www.carisyou.com/car/7432/Spec
 2025 링컨 노틸러스(2세대),9.0km/ℓ,가솔린,중형,SUV,4WD,7620,http://file.carisyou.com/upload/2023/11/01/FILE_202311011029012570.png,252마력,https://www.carisyou.com/car/7431/Spec
